doi,institution,country
10.1002/jclp.21951,"['Loyola University Chicago', 'Georgetown University Medical Center', 'University of California, Los Angeles']","['US', 'US', 'US']"
10.2307/2095905,"['University of Minnesota System', None]","['US', None]"
10.1192/bjb.2020.78,"[None, 'University of the West of Scotland']","[None, 'GB']"
10.1016/j.socscimed.2014.01.012,"['University of Manchester', 'University of Manchester']","['GB', 'GB']"
10.1111/j.1939-0025.2010.01007.x,"['Pepperdine University', 'University of Illinois Chicago', 'Pepperdine University', 'Pepperdine University', 'Pepperdine University']","['US', 'US', 'US', 'US', 'US']"
10.2307/2137292,"['University of Minnesota', None]","['US', None]"
10.1186/s12905-020-01149-5,"['University of Pennsylvania', 'George Mason University', 'George Mason University', 'George Mason University']","['US', 'US', 'US', 'US']"
10.1186/1752-1505-3-6,"['Mbarara University of Science and Technology', 'Bielefeld University', 'Bielefeld University', 'PE International (Germany)', 'University of Konstanz', 'PE International (Germany)']","['UG', 'DE', 'DE', 'DE', 'DE', 'DE']"
10.1016/j.socscimed.2016.03.009,"['University of Toronto', 'Laurentian University', 'Western University', 'Western University', 'Centre for Addiction and Mental Health', 'Ontario HIV Treatment Network']","['CA', 'CA', 'CA', 'CA', 'CA', 'CA']"
10.1002/jclp.21957,"['Boston College', 'Boston College', 'Columbia University', 'Columbia University']","['US', 'US', 'US', 'US']"
10.1016/j.socscimed.2014.05.005,"['University of Manchester', 'University of Manchester']","['GB', 'GB']"
10.3390/ijerph17186726,"['Collaborative Innovation Center of Chemistry for Energy Materials', 'Collaborative Innovation Center of Chemistry for Energy Materials']","['CN', 'CN']"
10.1037/0003-066x.45.3.385,['Boston University'],['US']
10.2105/ajph.92.2.220,"['Centre for Addiction and Mental Health', 'Centre for Addiction and Mental Health', 'Centre for Addiction and Mental Health', 'Centre for Addiction and Mental Health']","['CA', 'CA', 'CA', 'CA']"
10.2105/ajph.93.5.792,"['Syracuse University', 'Syracuse University', 'Syracuse University']","['US', 'US', 'US']"
10.2105/ajph.91.6.927,"['San Francisco State University', None, None, None, None]","['US', None, None, None, None]"
10.1023/a:1022662704461,['McMaster University'],['CA']
10.1192/apt.10.3.216,"['Cossham Hospital', 'Cossham Hospital']","['GB', 'GB']"
10.1002/smi.2646,"['University of Denver', 'The Ohio State University', 'University of Denver', 'Cornell University']","['US', 'US', 'US', 'US']"
10.2307/353111,"['Families USA', None, None]","['US', None, None]"
10.1007/s11482-017-9584-x,"['Nanjing University', 'Hong Kong Polytechnic University', 'Nanjing University']","['CN', 'HK', 'CN']"
10.3389/fpubh.2022.975482,"['Humboldt-Universität zu Berlin', 'Charité - Universitätsmedizin Berlin', 'Humboldt-Universität zu Berlin', 'Humboldt-Universität zu Berlin']","['DE', 'DE', 'DE', 'DE']"
10.1136/bmj.330.7486.307-b,"[None, None]","[None, None]"
10.1177/2167702613501496,"['Cornell University', 'Cornell University']","['US', 'US']"
10.1300/j013v12n03_11,['Chicago Department of Public Health'],['US']
10.2105/ajph.58.7.1300-b,[None],[None]
,"['Christian Medical College & Hospital', 'Christian Medical College & Hospital']","['IN', 'IN']"
10.1093/hsw/hlt013,"['University of Toronto', 'University of Toronto']","['CA', 'CA']"
10.1017/s2045796015000086,['University of KwaZulu-Natal'],['ZA']
10.1016/j.socscimed.2020.113308,"['Xiamen University', 'University of Hong Kong', 'University of Hong Kong', 'University of Hong Kong', 'University of Hong Kong']","['CN', 'HK', 'HK', 'HK', 'HK']"
10.1111/spc3.12168,['University of Sheffield'],['GB']
10.1108/17465721211289356,"['World Health Organization', 'World Health Organization', 'London School of Economics and Political Science']","['CH', 'CH', 'GB']"
10.1590/s0104-11692007000700012,"['Universidade de São Paulo', 'Universidade de São Paulo']","['BR', 'BR']"
10.1016/j.socscimed.2007.02.037,"['World Bank', 'World Bank', 'World Bank', 'World Bank', 'World Bank']","['US', 'US', 'US', 'US', 'US']"
10.1016/s0277-9536(02)00342-8,"[None, 'Johns Hopkins University', 'University of Maryland, Baltimore']","[None, 'US', 'US']"
10.3389/fgwh.2023.1128169,"[None, 'Manipal Academy of Higher Education']","[None, 'IN']"
10.1016/j.lanwpc.2023.100734,"['University of Melbourne', 'University of South Australia', 'University of Melbourne', 'University of Adelaide', 'University of Melbourne']","['AU', 'AU', 'AU', 'AU', 'AU']"
10.1186/s12905-023-02328-w,"['Universitat de Barcelona', 'Universitat de Barcelona', 'Universitat de Barcelona', 'Universitat de Barcelona']","['ES', 'ES', 'ES', 'ES']"
10.1007/s11199-014-0414-4,"['Arizona State University', 'Northeast Ohio Medical University']","['US', 'US']"
10.1017/s0033291796004060,"['Royal Holloway University of London', 'Royal Holloway University of London']","['GB', 'GB']"
10.1017/s0047279409003250,"['University of York', 'University of York']","['GB', 'GB']"
10.1521/jscp.2008.27.9.903,"['Kent State University', 'East Tennessee State University']","['US', 'US']"
10.1111/1467-8624.00379,"['University of Virginia', 'University of Virginia']","['US', 'US']"
10.1080/09540121.2013.825368,"['University of Oxford', 'University of Oxford', 'University of Oxford', 'University of KwaZulu-Natal', 'University of KwaZulu-Natal']","['GB', 'GB', 'GB', 'ZA', 'ZA']"
10.1176/appi.ajp.159.1.43,"['Sangath', None, None]","['IN', None, None]"
